코드	질문	label
276A	한국 유럽외 검역 절차	363
71B	어떤 경우 애완 동물들도 코로나 검사 받아?	474
11C	유전자 검사 왜 해?	35
231B	코로나가 설사를 일으키기도 하나요?	264
81A	코로나 확진시 반려동물 만지면 안됨?	494
141C	여객기에 사람이 죽으면 어떤일이 일어나나요?	81
195A	격리 중에 밖에 나가면 처벌 기준이 어떻게 되나요?	195
4C	하기도 검체에 대해 알려주시면 감사하겠습니다.	422
248A	격리입원치료비는 누가 받을 수 있어?	291
103C	집단 방역은 어떻게 구성되어 있나요? 	7
43A	소독제를 분사하며 공간 소독하면 도움이 되나?	398
135A	어린이들 코로나 취약	65
73B	생물 및 동물 제품 중 CDC가 규제하는 건 어떤게 있어요?	477
4D	검체 채취시 아픈가요?	423
103C	집단 방역 구성 요소	7
272B	대한민국 코로나 사망자 수는 얼마나 되는지 궁금합니다.	353
1C	가래가 있는 환자들은 어떤 것을 채취해서 전달하나요?	208
44A	코로나 19 택배 감염 	403
89A	환기 없이 공기 청정기만 틀면 안되나요?	505
1B	상기도 검체가 꼭 있어야 하는 검체인가요?	207
93A	사람들끼리 마스크 쓰고 모여있는건 괜찮나요?	513
79B	반려 동물 미용시킬 때 지켜야 할 규칙 	489
187B	격리해제 규칙은 변경 하지 않나요?	178
210D	어떤 응급 증상을 코로나는 가지고 있나요?	230
250C	격리입원치료비에 제증명료도 지급되나요?	301
69A	코로나-19 사태에 개 산책해도 되려나요?	470
251A	코로나로 확진되면 국가에서 치료비를 지원해주나요?	305
165A	코로나 치료제가 개발 되었나요?	141
162B	코로나 대비 준비용품	137
10B	응급으로 선별 검사를 했을 때 양성이 나와 추가적으로 코로나 확진 검사를 하게 될 때 급여는 어떻게 청구하면 되나요?	17
45A	다른 기저 질환 치료 	406
260A	코로나가 벌레를 통해 퍼질 수 있나요?	328
59B	혈액기증자 안전을 위해 어떤 것들을 권고하고 있어요?	447
38B	휴교 복지	388
22A	학교 휴교에 관한 정보는 어디서 얻나요?	260
260A	곤충이 코로나를 퍼트릴 수 있나요?	328
268D	코로나 유래 동물	343
47C	세균 죽이는데 청소가 효과적?	411
38A	학교가 corona로 휴교해야 할때 무엇을 고려해야해요?	387
142A	코로나에 걸릴 확률이 비행기에 있으면 더 높아지나요?	82
4D	검체 채취 아픔	423
195B	자가격리 중에 밖에 나가면 벌금이 나와요?	196
98A	거리두기 1단계는 뭐야?	522
210D	코로나 응급 증상에 대해 알려주세요	230
259C	코로나 습도에 대해 알려주시면 감사하겠습니다.	323
258A	코로나는 어떻게 창궐하나요?	319
194A	코로나 격리시 주의할 사항에 대해 알려주세요	191
24B	온라인 수업이 불가능한 학생들 출석체크 	296
123A	아이와 성인 코로나 증상 차이 	42
3B	선별 진료소중 진료 가능한 곳은 어디서 찾을 수 있나요?	392
65A	동물의 털로 인해 코로나 바이러스에 걸릴수도 있을까?	460
75A	코로나 검사 고양이도 해야해?	483
140A	실시간 출입국 주의 사항	78
125A	기저질환이 있는 아이는 COVID-19 중증 환자가 될 위험이 더 높습니까?	44
233A	코로나에 취약한 사람들은 누가 있나요?	267
5B	응급시 corona 확진 검사를 했을 때 그 비용은 누가 부담하는거죠?	449
47A	코로나 막는데 청소가 도움이 됨?	409
113A	발열 증상을 보이는데 어떡하죠?	21
2B	얼마나 기다리면 코로나 유전자 검사 결과가 나오나요?	374
11D	코로나 진단에 항체 검사가 이용 되는지 알려줘 	36
247B	렘데시비르를 알려주시면 감사하겠습니다.	289
252B	코로나 치료약	309
73B	CDC는 미국으로 수입되는 동물 제품들 중 어떤 것들을 규제해?	477
16B	교내 코로나 환자 발생 시 휴교 일수는?	149
254A	코로나 후유증 치료에도 건강보험이 적용되나요?	311
148A	캠핑하면 코로나에 걸릴 위험이 높나요?	97
2A	corona 유전자 검사받는데 얼마나 걸릴까요?	373
113C	열이 날때 얼마나 집에서 쉬는게 좋음?	23
244B	격리 치료비는 다른나라 사람들도 지원해주나요?	285
152A	판데믹기간 중 코로나 여행을 가면 안되나요?	112
1A	가래가 없다면 상기도 검체만 채취하죠?	206
249B	합병증이 코로나 때문에 심해지면 이것도 치료비 지원을 해주나요?	293
258A	코로나 확산 이유	319
74A	코로나 기간에 승마장 안전 관리방법	481
170A	항생제가 코로나19의 예방이나 치료에 도움이 되나요?	150
270B	코로나와 사스의 유사한 점이 어떻게 되나요?	350
73A	지금 시국에 동물 수입 시 어떻게 취급하면 되나요?	476
40B	차아염소산나트륨으로 소독한 공간은 하루동안 비워놔야 해요?	394
156A	해외 여행을 마치고 언제 다시 출근할 수 있습니까?	124
131A	우리 얘가 코로나 증상으로 아프면 어떻게 해야하죠?	58
111A	이 시국에 모이는건 위험하죠?	19
230B	코로나 폐렴 일으킬 확률	262
254A	후유증도 건강보험이 적용되는지 궁금하네요	311
11D	코로나 진단에 항체 검사 사용 됨?	36
6A	corona 검체 채취 할 때 표준주의 뜻은 무엇인가요?	471
76A	코로나 기간에 고양이 걱정 해야 될까요?	484
205A	코로나로 사람이 죽었는데 죽은 사람 물건은 어떻게 처리 할까요?	216
250A	코로나19로 인하여 발생하는 격리입원치료비 중 지급 가능한 비급여 범위는 어떻게 되나요?	299
211B	코로나 접촉 추적시 공개 정보를 알려주세요	232
191B	자가격리 중 무증상 외국인이 출국 가능한 시기를 알려주세요	186
94B	마스크를 드라이기로 건조해서 써도 되나?	515
65B	코로나 기간에 동물을 만져야할 때 무엇을 주의해야 할까요?	461
242A	격리입원치료비와 다른 지원제도와 관계를 알려주세요	282
142C	기내 공기 순환이 바이러스 예방에 도움이 되나요?	84
74A	코로나 기간에 승마시설 관리 방법 알려줘	481
188A	생활치료센터 입소 절차 좀 알려줘봐	179
92A	일회용 마스크 재사용	512
178A	코로나가 모유를 통해 전염 되기도 하나요?	161
225A	신종 코로나바이러스와 독감의 차이점은 뭔가요?	254
10A	corona 확진 검사 가격 	16
202B	경보 몇단계부터 확진자 이동경로가 공개되죠?	212
77A	야생 동물이 COVID-19 유발 바이러스를 사람이나 애완동물에게 전파할 수 있나요?	485
119A	신종 코로나 바이러스 관련 찌라시에 대해 어떻게 대처해야할까?	32
233A	코로나에 더 약한 사람들을 알려주세요	267
224A	코로나 무증상자도 바이러스를 퍼트릴 수 있나요?	252
129A	코로나 기간에 아이가 새로운 일과에 적응 어려워해요 어쩌면 좋죠?	53
138A	아이들 코로나 건강관리법	72
149A	한국공항에서는 어떻게 코로나 검사를 하나요?	100
82A	요양원에 애완동물이 있는데 코로나 위험이 있을까요?	495
58A	코로나 바이러스가 몸 밖으로 내보내졌을 때 얼마나 생존해?	440
16B	교내 확진자가 생겼을 때 휴교 일 수 알려줘 	149
50A	코로나 방지 위해서 놀이터 소독 필요해?	424
249A	다른 질환이 코로나로 인해 더 심해졌는데 격리치료비 지원을 받을 수 있나요?	292
210B	집에서 코로나 치료	228
121B	코로나 공기 감염 실화에요?	39
263B	코로나 회복기간이 궁금합니다.	332
233C	질환이 있으면 코로나에 더 위험한가요?	269
73C	USDA가 규제하는 제품	478
85A	코로나와 감기 증세는 어떻게 구별하나요?	501
58E	나무 위에서 코로나 바이러스는 얼마나 살아?	444
30B	휴교 기간이 길어진다면 과외 활동은 어떻게 되나요?	376
133A	코로나 기간 중 아이의 학습활동 지속에 어떻게 도움을 줄 수 있습니까?	63
250F	코로나 치료비 지원에 식비도 해주나요?	304
132D	아기의 만성질환이 악화되면 어떻게 하죠?	62
61A	마스크가 바이러스 감염되는걸 막는데 도움이 됨?	454
190B	공동격리 병상 관리	184
0B	코로나 환자를 숨참기로 찾아낼 수 있나요? 	1
145A	외국은 미국 여행 자에 대해서 제제를 하나요?	90
108A	손 씻기 적당한 시간은 얼마야?	13
256C	진료 담당자와 검체 채취자는 같은 곳에서 일하나요?	317
7B	의사 환자에 대해 설명해 주시면 감사하겠습니다. 	491
79A	코로나 기간에 강아지 미용하러 가도 됨?	488
122A	옷 소매랑 휴지랑 어떤거로 입가리고 재채기 하는게 더 안전해?	40
277A	한국 입국 방역 절차	364
50B	실외에 소독제 분사하면 더 안전해지나요?	425
250B	코로나 격리입원치료비가 미지급 되는경우	300
40A	공간 소독 후 언제 사용 가능?	393
144B	방콕 여행가는데 위험 사항	89
210D	코로나 응급 징후	230
240A	격리입원치료 비용 지원기간	280
275A	한국 입국 검사 절차가 궁금해요	362
260A	모기나 진드기 같은 곤충이 코로나19를 전파시킬 수 있나요?	328
234C	어떤 기저질환이 COVID-19에 더 위험하게 만드나요?	272
267A	코로나 전염에 대해 설명해주세요	339
246A	주민등록이 말소되었는데 치료비 지원 절차가 어떻게 되나요?	287
59A	코로나 기간에 헌혈해도 안전할까요?	446
20A	비상 운영 계획엔 어떤 것들이 있는지 알려주세요 	226
9A	열 스캐너가 코로나 환자 발견 가능?	529
213A	보호구 착용한 의료진이 마스크를 안한 환자를 진료해도 접촉자로 분류되나요?	236
7A	누가 corona 검사를 받을 수 있나요?	490
211C	코로나 접촉 알림 어플리케이션에 대해 설명해주세요	233
138A	코로나 시대에 우리 아이들 건강은 어떻게 지킬까요?	72
111A	코로나 모임	19
256B	다른 기관이 의사 결정에 개입할 수 있나요?	316
92A	썻던 마스크 다시 써도 됨?	512
232A	코로나에 완치 되어도 폐 기능 저하가 있나요?	265
250A	비급여 격리입원치료비 범위	299
135A	어린아이들은 코로나에 얼마나 취약한지 알려주세요	65
91A	마스크만으로도 코로나를 막을 수가 있을까?	511
147B	코로나 시국에 몇도부터 비행을 할 수 없나요?	94
219A	접촉자 추적을 위한 핸드폰 프로그램이 있나요?	244
208A	감염자면 저는 어떤 연락을 받나요?	222
58D	유리 위에서 코로나 바이러스가 얼마나 생존 가능한가요?	443
114A	왜 오래 손을 닦아야 해?	24
11B	보통 어느정도 후에 SARS-CoV-2  항체가 형성되는거에요?	34
53A	회사에 확진자가 생기면 언제 다시 열 수 있어요?	431
125A	기존에 병을 앓던 아이가 COVID-19 확진 되면 중증 환자 될 가능성이 높을까?	44
266C	코로나 혈액	338
27A	온라인 수업이면 시험은 어떻게 보는지 알려주세요	367
249B	코로나로 합병증 악화 시 격리입원치료비 지원 여부를 알려주세요	293
30A	동네에 감염자 수가 엄청 많아지고 있는데 학교에서는 어떻게 대비하죠?	375
38B	휴교 인 경우 의료 	388
217A	접촉자 추적시 개인정보가 어떻게 되는지 궁금합니다.	240
212B	마스크 전염 예방	235
8A	혼자 가래를 채취할 때 꼭 음압실을 사용해야 하는지 알려주세요 	508
20A	학교 비상 운영 계획엔 어떤 것들이 들어가는지 알려줘 	226
108B	정확한 손 씻는 규칙이 어떻게 되나요?	14
48B	코로나 청소 장점 	413
109A	내부에선 어떤 예방 수칙 지켜야해?	15
161C	안 아픈데 마스크 벗으면 안되요?	135
83A	열나면 자가 격리 하는 사람처럼 있어야 됨?	496
90A	재채기 후 소매 소독	510
32B	학교 내의 코로나 예방을 위해 미국 질병 관리 본부가 제공한 지침	379
8B	저 혼자 가래를 채취해야 할 때 어떤 장소가 좋을까요?	509
113A	저 열나는거 같은데 뭐해야되나요?	21
81A	코로나가 의심되는데 애완동물 만져도 될까요?	494
167A	렌즈 소독액이 코로나 예방에 효과가 있나요?	143
73E	코로나 기간에 미국으로 반려견 수입 할 수 있는지 알려줘	480
135A	어린 아이들이 코로나에 얼마나 약한지 알려주실 수 있으신가요?	65
13A	선별 검사와 확진 검사 함께 시행 	76
38C	휴교인 경우 식사 	389
238A	격리 입원 치료비 신청 시 필요 서류에 대해 알려줘	277
7B	의사 환자 설명 	491
205A	코로나 죽은 사람 물건 관리 방법	216
142B	헤파 필터란?	83
188A	확진환자가 생활치료센터에 들어가는 과정에 대해 알려주세요	179
234A	코로나 증상들은 어떤것들이 있는지 알려주세요	270
103C	집단 방역의 구성 요소 궁금해	7
238A	격리입원비용 신청 시 구비 해야하는 서류 목록을 보여주세요	277
99A	2.5단계 지침	523
58F	플라스틱에 붙은 코로나 바이러스 생존 기간 알려줘	445
89B	하루에 환기는 얼마나 시켜야 하나?	506
133A	코로나 기간엔 어떻게 아이들의 공부를 도와 줄 수 있을까요?	63
18A	집이 없는 아이들이 있는데 홈스쿨이 금지됨?	182
158A	이 시국에 적절한 코로나 소독제는 어떤게 있나요?	128
59A	시국이 이래도 헌혈은 해도 되겠죠?	446
63A	이 와중에 개를 데리고 미국에 가면 안되겠죠?	457
144B	이시국 브루나이 여행 시 주의사항	89
74B	말 코로나	482
165A	코로나 백신	141
202B	코로나 걸린 사람들의 이동동선이 공개되는 경보 단계를 알려주세요	212
140A	국가별 출입국 제한사항 실시간 정보는 어디서 확인할 수 있나요?	78
158B	믿을만한 소독제 승인 기관을 알려주세요	129
27A	원격 수업일 때 평가	367
171A	국가 끼리 코로나 정보는 어떻게 공유하고 있나요?	152
124A	어떻게 하면 아이들을 COVID-19으로 부터 보호할 수 있을까?	43
7B	의사 환자가 무슨 의미인지 궁금해요 	491
59B	혈액 기증자의 안전을 위해서 권고되고 있는 것들 알려줘 	447
222A	접촉했으면 어디에 연락해야하나요?	249
205A	코로나로 숨진 사람의 물건들은 어떻게 처리해야 할까요?	216
207D	코로나 접촉 자가격리 기간	221
113A	열나는데 저 뭐해야 해요?	21
200A	출근은 확진자 격리해제 되면 바로 할 수 있는건가요?	209
66C	동물들이 어떻게 코로나에 걸리는지 알려줘 	464
203A	코로나 사망자 장례식에 가도 될까요?	213
33A	학교에서 밥 먹어야 할 때 지켜야 하는 건 어떤게 있어요?	380
231A	열이 없는데 코로나인줄 어떻게 확인 할 수 있나요?	263
179B	코로나 바이러스 차단 수유 방법	163
231B	코로나 증상으로 장염이 있나요?	264
247A	렘데시비르 임상실험 결과는 어떻게 되나요?	288
258B	지역사회 전파	320
85A	감기와 코로나19 증상은 어떻게 구분하나요?	501
17A	학생 보호를 위해 교사가 할 수 있는 일들	164
222A	확진자랑 만나면 어디에 연락해야 하는거죠?	249
158B	소독제를 승인 가능 기관	129
38A	코로나로 인한 휴교 결정시 고려 사항	387
104A	생활 속 거리두기가 뭐야?	8
118A	한집에 사는 사람이 기침을 하는데 어떻게 생활해야할까요?	29
40A	공간을 소독했을 때 바로 사용하면 안되는거에요?	393
71A	동물들 왜 코로나 검사해줘?	473
277A	한국은 입국 방역관리를 어떻게 하고 있나요?	364
44A	택배로 온 물품 코로나 괜찮아?	403
4D	검체 채취할 때 아프기도해?	423
76A	고양이 걱정 	484
101A	거리두기 3단계	3
57A	코로나랑 독감이랑 다르게 치료해요?	438
77B	야생동물로부터 감염 안되려면 어떻게 해야함?	486
153A	항공 여행 하는데 바이러스 전염 될 수 있나요?	114
99F	코로나 2.5단계면 학원 운영 불가에요?	528
5B	응급시 받은 코로나 확진 검사는 누가 비용을 내는거죠?	449
130A	지금 시국에 아이가 친구들과 어울려 놀아도 될까?	57
213A	의료진이 보호구를 착용하고 보호구를 안한 환자를 진료하면 접촉자가 되나요?	236
58C	에어로졸 코로나 바이러스 생존	442
99B	거리두기 2.5단계일 때 음식점 출입 	524
151C	중국에 방문 할것 같은데 유의사항이 있나요?	111
192A	격리해제 유증상 확진자	187
271A	코로나 바이러스가 어떤건지 알려주세요	351
182B	공동격리 기준에 안 맞아도 헤제 될 수 있나요?	171
99D	코로나 2.5단계 키즈카페	526
0B	숨참기로 corona 판별 가능한가요?	1
210A	동생이 코로나에 걸렸는데 대처방법을 알려주세요	227
5D	의사환자 및 조사대상 유증상자로 신고한 경우 X-ray 비용은 누가 부담하나요?	451
73B	미국 CDC가 규제하고 있는 동물 및 생물 제품에 대해 설명해주세요 	477
192C	코로나 유증상 확진자의 격리해지 검사 기준이 어떻게 되나요?	189
216A	접촉 범위 설정을 위해 어떤것들이 고려되는지 알려주세요	239
166A	코로나 걸렸었는데 다시는 안걸리는건가요?	142
8B	본인 스스로 가래 채취시에 어떤 곳에서 하면 될까요?	509
132C	코로나 시국에 아이들이 병원가면 위험할 수 있을지 궁금합니다.	61
115A	카페 이용 할 때 어떤 지침들 지켜야해?	25
55A	독감이랑 코로나랑 동시에 걸릴 수 있어요?	435
122B	코로나 기침 예절	41
211A	디지털 도구를 사용하여 COVID-19 접촉자 추적에 참여하면 개인건강정보 보안에 문제는 없나요?	231
75A	동물 코로나 검사 	483
10A	추가적인 확진 검사할 때 돈 누가 내?	16
150B	후베이성에 갔던 중국인이 입국 가능한가요?	106
138A	애들 건강 지키는 법	72
11A	코로나 항체 검사 의미란?	33
263B	코로나 치료 기간은 얼마나 되죠?	332
144A	인도네시아 여행 가도 되나요?	88
204B	코로나 추모식 주의 사항	215
249C	천식이 코로나로 악화 되었는데 치료비용이 지원되나요?	294
74A	승마시설 안전하게 관리하는 방법	481
75A	강아지도 코로나 검사 해야됨?	483
48A	소독이랑 청소는 뭐가 다른거에요?	412
75A	애완견도 코로나 검사 해야할까?	483
274A	코로나 확진자는 어떤 사람인가요?	360
183A	코호트 격리란 무엇입니가?	172
195B	자가격리를 안하고 나갔는데 벌금 내야되나요?	196
211A	디지털 기기로 접촉자 추적하면 정보보안에 위험한지 알고 싶어요	231
259E	어떤 위도에서 코로나가 잘 살아 남나요?	325
217A	접촉자 추적 중에 내 개인정보는 어떻게 됩니까?	240
29A	코로나 환자가 동네에 있을 시 학교에서는 어떻게 대비하나요?	372
272B	코로나 국내 사망자 수는 얼마나 되나요?	353
11D	항체 검사로 코로나 진단해?	36
196A	자가격리 시 지원 비용	198
147A	체온이 좀 높은데 항공기 탑승이 힘들까요?	93
232A	코로나에 걸리면 완치돼도 폐 기능 후유증이 있나요?	265
94B	마스크 건조에 헤어 드라이기 써도 됨?	515
141A	여객기에 사람이 아픈데 어떤 일이 일어나나요?	79
11C	RT-PCR 유전자 검사는 왜 하는건가요?	35
117A	집에서도 마스크 쓰고 있어야해?	28
139C	산책이 불안감 해소에 도움이 되나요?	75
202B	코로나 위기경보가 어느정도면 이동동선이 공개되나요?	212
21B	학교가 단독으로 휴교 결정이 가능한가요?	246
250B	코로나 격리입원치료비의 지급 불가능한 사례를 알려주세요	300
194B	자가격리중 코로나를 막기위해 화장실 사용에 대해 알려주세요	192
122A	휴지로 입 가리고 기침해도 안전한가?	40
51C	코로나 확산 방지에 살균 터널이 효과적이야?	428
181B	격리면제 를 해주는 제도에 대해 알려주세요	168
142A	기내 virus infection 가능성은 얼마나 되나요?	82
181A	격리면제서를 발급 받지 못한 경우 나중에 격리면제서를 받들 수 있나요?	167
253A	코로나 환자가 본인 금액을 먼저 납입한 경우, 추후에 청구 방법이 어떻게 되는지 알려주세요	310
270B	사스와 코로나는 어떤게 비슷한가요?	350
207B	코로나 확진자 근처에 있었는데 자가격리 해야되나요?	219
52A	corona 환자 가 갔던 곳은 어떤식으로 소독해?	429
94A	소독제 뿌려서 마스크 다시 써도 됨?	514
208C	접촉자에게 코로나 감염자 이름이 공개 되기도 하나요?	224
239A	격리입원치료비와 함께 지급되는 지원이 있나요?	278
195B	자가격리 벌금	196
222B	집에 있는데 코로나 증상이 보입니다 어디에 연락할까요?	250
29A	학교가 있는 지역에 확진자가 꽤 있는 경우 학교는 어떻게 해야해요?	372
229A	코로나에 걸리면 폐가 굳나요?	259
38B	휴교일 때 학생들에게 제공할 수 있는 복지 서비스 대안책이 있어요?	388
5D	조사가 필요한 유증상자라고 알린 경우에 엑스레이 비용은 누가 내는 건가요?	451
120A	현실적으로 지침을 준수하기 어려운 경우, 어떻게 해야 하나요?	37
188B	병원에서 생활치료센터로 옮기게되는 기준이 있나요?	180
248A	격리치료비를 받을 수 있는 대상자는 누군가요?	291
28A	지역에 감염 사례가 없는 학교여도 코로나 대비를 위해 어떤 것들을 준비해야 할까?	371
280A	너무 고맙네	369
103B	개인 방역은 어떻게 구성되어 있나요?	6
216A	접촉한 사람의 범위는 어떻게 정해지나요?	239
276A	유럽 외 국가에서 입국 시 코로나 검역은 어떻게하고 있나요?	363
259A	날씨가 따듯해지면 코로나를 막을 수 있을지 궁금해요	321
250B	입원치료비가 지원이 안되는 사례를 알려주세요	300
126A	기저 질환 갖고 있는 자녀가 있는 집은 어떤 조치 취해야해?	47
222A	접촉자는 어디에 연락을 하는게 좋은가요?	249
266B	코로나 바이러스가 눈물로 전파되기도 하나요?	337
157A	손 깨끗이 씻는법을 알려주세요	126
145A	미국 여행자들에 대한 해외 여행 제제사항에 대하여 알려주실 수 있나요?	90
273A	총 몇 명이나 코로나 확진자가 해외에서 생겼나요?	356
231B	코로나 설사	264
62A	코로나 예방에 마스크가 하고 있는 기능에 대해 알려줘 	455
164B	코로나를 없애기 위한 렌즈 관리법	140
132C	코로나 기간 중에 얘들이 병원가면 위험 할 수 있나요?	61
267A	코로나는 어떻게 옮게되나요?	339
47C	청소하면 바이러스 죽일 수 있어?	411
115A	커피숍갈 때 조심해야되는거 말해줘 	25
229A	코로나 바이러스가 폐섬유화를 유발하나요?	259
151C	이시국 중국 여행 주의사항	111
19B	Denmark 대면 수업	204
64A	코로나 기간 중 잡은 고기로 인해 코로나 걸리기도 해?	458
167B	다목적 용액으로도 코로나 예방이 될까요?	144
150D	후베이성은 안갔었는데 어떻게 한국으로 들어가나요?	108
5B	응급 상황에서 코로나 검사가 실시되면 그 비용은 누가 부담하게되나요?	449
155C	타국에서도 코로나 의료 서비스를 받을 수 있을까요?	123
261A	코로나도 잠복기가 있나요?	329
170B	코로나 기간 중 어느 상황에 항생제를 쓰는게 맞을까요?	151
133A	어떻게 해야 이 시국에 아이들 공부를 도와줄 수 있을까요?	63
219A	밀접 접촉자 추적을 위한 어플이 존재하나요?	244
5A	코로나 검사하는데 얼마들어요?	448
147D	코로나로 생각 되는 온도는 몇도 인가요?	96
242A	격리입원치료비와 산재 진료비 지원제도는 어떤관계인가요?	282
266A	코로나 확진자의 똥으로도 전염이 가능한가요?	336
156A	외국 여행을 마친 후 얼마나 집에 있어야 하나요?	124
149A	한국에서는 코로나로 의심 되는 사람을 어떻게 찾죠?	100
57A	코로나 걸리면 독감이랑 다르게 치료해?	438
146A	코로나로 인한 미국 입국 절차	91
48A	청소랑 소독이 차이가 있나요?	412
68A	강아지를 개공원에 데리고 가도 될까?	466
37A	코로나로 휴교 결정시 학생들은 어떻게 공부해요?	386
31A	학교 내 직원들은 코로나 방지 위해 무엇을 할 수 있어?	377
24C	실시간 온라인 수업 일 때 출석 체크 어떻게 하는지 알려주세요 	297
268A	코로나가 어디서 유래된 질병이야?	340
139C	밖에 나가는게 스트레스 해결에 도움이 되냐?	75
94D	마스크 세탁해서 재사용 가능해?	517
238A	격리입원치료비 신청 시 구비 서류는 무엇인가요?	277
232B	COVID-19에 걸리면 완치되어도 후유증이 있나요?	266
99C	코로나 2.5단계면 카페 매장 이용 불가능이에요?	525
273A	다른나라 코로나 환자 발생 수가 궁금합니다.	356
49B	UV 손 소독 	417
83C	코로나 유증상자가 다른 사람과 함께 거주할 때 화장실은 어떻게 쓰죠?	498
142A	비행기 내 바이러스 감염률이 어떻게 되죠?	82
148A	야외로 소풍 가려는데 코로나 때문에 힘들까요?	97
20A	학교 비상 운영 계획에 들어가야 되는 것들 	226
278A	반가워	365
127A	소아 괴질	48
105A	생활 속 거리두기의 기본 원리는 무엇인가요?	9
24C	실시간 온라인 수업은 출석 인정 어떻게 해?	297
78A	코로나에 감염 될 수 있는 동물들 알려줘 	487
228A	코로나 콧물	257
234C	기존에 기저질환이 있었으면 중증으로 발전될 확률이 높나요?	272
210C	코로나 간호 중의 행동요령이 궁금합니다.	229
143A	다른 나라에선 출국 시 코로나에 대해 어떤 조치가 취해지죠?	85
11C	RT-PCR 유전자 검사는 왜 시행되는거에요?	35
114A	왜 손은 30초 이상 씻어야 하나요?	24
258B	지역사회 전파 뜻	320
248A	코로나19 격리입원치료비 대상자는 누구인가요?	291
205A	코로나 사망자의 유품을 관리 하는 방법에 대해 알려주세요	216
56A	코로나랑 독감은 어떤게 달라?	436
196B	해외에서 온 사람도 자가격리 시 지원 비용	199
196A	자가격리 중입니다. 지원해주나요?	198
113C	열이 난다면 얼마정도는 집에 있어야 하지?	23
99E	수도권만 2.5단계 적용 되는거지?	527
122B	올바르게 기침하는 방법 설명해줘	41
94D	세탁한 마스크 재사용 가능?	517
161A	이 시국에 마스크는 왜 착용해야하죠?	133
128A	아이 병원 가도 될까?	51
162A	사회 코로나 감염 준비 방법	136
214A	접촉자와 만난경우는 어떻게 해야하나요?	237
236A	흠연하는데 코로나에 더 위험한지 알려주세요	274
259B	코로나의 생존력이 높아지는 환경은 어떤게 있나요?	322
209A	접촉자 대처	225
98A	1단계 거리두기 지침 알려줘	522
132D	아이가 만성질환이 악화되었는데 어떻게 하죠?	62
233C	어떤 질환의 환자가 코로나에 더 약한가요?	269
221A	밀접 접촉자가 되었는데 증상이 없어도 자가격리는 해야되는건가요?	248
211C	COVID-19 접촉자 어플에 대해 자세히 설명해주시면 감사하겠습니다.	233
264B	음식에서 코로나 바이러스가 생존 할 수 있나요?	334
103B	어떤것들로 개인방역은 구성되어 있어요?	6
249C	코로나 만성질환 악화 격리입원치료 비용 지원	294
164B	코로나 바이러스를 죽일 수 있는 렌즈 관리법에 대한 설명이 필요합니다.	140
89B	환기 몇번하는게 좋은지 알려주세요 	506
59A	코로나 기간 중 현혈을 해도 됩니까?	446
136A	어린이들도 마스크 써야되요?	66
273B	해외 코로나 사망자 숫자가 궁금합니다.	357
73B	CDC 가 규제하는 수입 동물 제품들은 어떤게 있어요?	477
137B	우리지역에 코로나가 생기면 아이들에겐 어떻게 대화하는게 좋을까?	71
251C	지시사항을 어겼는데 치료비용을 받을 수 있나요?	307
66A	저희집 강아지가 코로나에 걸린거 같은데 어쩌죠?	462
158A	바이러스를 제거할 수 있는 소독제에 대해 알려주세요	128
169A	폐렴약이 코로나약으로 쓰일 수 있을까요?	146
196B	해외입국자도 자가격리 생활지원	199
223A	스마트폰에 코로나 접촉자 추적 어플을 다운 받아야하나요?	251
43E	어떤 소독제가 해로워?	402
105A	코로나 기간의 생활 속 거리두기는 어떤 기본 원리가 있어?	9
257A	코로나 블루 알려주세요	318
166A	코로나 바이러스는 한번 걸리면 면역이 생기나요?	142
266B	코로나 눈물	337
57A	인플루엔자와 코로나와 치료 방식 어떻게 달라요?	438
14A	코로나 검사 과거 병력 왜 	104
143C	타국 공항 건강 질문	87
107A	손소독제만으로 코로나 완전한 예방이 가능해?	11
3A	코로나 19 검사 어디로 가야하나요?	391
127B	아이에게 소아 괴질 증상 나타나면 어쩌지?	49
248A	격리입원치료비 대상자	291
118A	한집에 사는 사람이 가래가 있는데 어떻게 생활하면 될까요?	29
211C	노출 알림 앱에 대해 설명해주세요	233
68A	이 시국에 개 전용 공원에 반려견과 같이 가도 될까요?	466
79A	코로나 기간에 강아지 호텔에 맡겨도 될까?	488
197A	사는곳에 독립된 공간 확보가 안될경우 격리 방법을 알려주세요	200
243A	생활치료센터에 확진자가 온경우 입원치료비를 지원 받을 수 있나요?	283
162B	코로나 비상사태 발생을 대비해 집에 준비 해야하는 물품이 있나요?	137
103C	어떤 요소들로 집단 방역이 구성되어있는지 알려줘	7
73C	어떤 생물 및 동물 제품의 수입을 USDA가 막나요?	478
202A	확진환자의 이동경로를 확인하고 싶습니다.	211
164A	렌즈를 사용하는데 코로나 예방을 어떻게 하는게 좋을까요?	139
98A	사회적 거리두기 1단계에 대해 설명해줘	522
107B	손 세정제 올바르게 사용하는 방법은?	12
99E	수도권만 거리두기 2.5단계 시행되는건가요?	527
100A	사회적 거리두기 2단계 지침이 어떻게 되나요?	2
75A	동물도 코로나 검사를 해야 됩니까?	483
238A	격리입원비용 신청 시 구비 해야하는 서류에 대해 알려주세요	277
71B	동물들은 언제 코로나 검사를 받는지 알려줘 	474
89C	어떤 효과가 있어요 환기를 하면?	507
208C	코로나 감염자 정보가 접촉자에게 알려질 수 있나요?	224
